"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   6.10511093140E+01   5.13300018311E+01  w1_10231990 
   6.11111946106E+01   5.15200004578E+01  w1_11261990 
   6.11648941040E+01   5.15000000000E+01  w1_12191990 
   6.14816246033E+01   5.15999984741E+01  w1_01041991 
   6.13233413696E+01   5.15800018311E+01  w1_02051991 
   6.15977172852E+01   5.22099990845E+01  w1_03051991 
   6.15512695312E+01   5.23699989319E+01  w1_03221991 
   6.14531173706E+01   5.20999984741E+01  w1_04021991 
   6.14422836304E+01   5.19599990845E+01  w1_04091991 
   6.13712615967E+01   5.18499984741E+01  w1_04181991 
   6.12341041565E+01   5.17900009155E+01  w1_05031991 
   6.10460433960E+01   5.17299995422E+01  w1_06061991 
   6.09145584106E+01   5.15600013733E+01  w1_07051991 
   6.08713111877E+01   5.15900001526E+01  w1_08081991 
   6.08825950623E+01   5.15600013733E+01  w1_09041991 
   6.09736289978E+01   5.13199996948E+01  w1_11151991 
   6.11842575073E+01   5.13100013733E+01  w1_12091991 
   6.15249061584E+01   5.16800003052E+01  w1_01061992 
   6.16084785461E+01   5.15200004578E+01  w1_02051992 
   6.17389297485E+01   5.17799987793E+01  w1_03021992 
   6.16438598633E+01   5.18400001526E+01  w1_03131992 
   6.16059684753E+01   5.16800003052E+01  w1_04021992 
   6.13891067505E+01   5.14900016785E+01  w1_05081992 
   6.11629638672E+01   5.14199981689E+01  w1_06091992 
   6.10269355774E+01   5.13400001526E+01  w1_07071992 
   6.09095268250E+01   5.13100013733E+01  w1_08101992 
   6.09039192200E+01   5.13100013733E+01  w1_09101992 
   6.09267196655E+01   5.13499984741E+01  w1_10191992 
   6.11113624573E+01   5.13600006104E+01  w1_11121992 
   6.11170082092E+01   5.13600006104E+01  w1_12021992 
   6.11766242981E+01   5.19900016785E+01  w1_12311992 
   6.12058563232E+01   5.22500000000E+01  w1_01251993 
   6.13947715759E+01   5.21899986267E+01  w1_03031993 
   6.12481269836E+01   5.20699996948E+01  w1_04021993 
   6.12483787537E+01   5.19099998474E+01  w1_05041993 
   6.09988555908E+01   5.18300018311E+01  w1_06091993 
   6.09872169495E+01   5.17400016785E+01  w1_06291993 
   6.09496002197E+01   5.16699981689E+01  w1_07281993 
   6.08883781433E+01   5.16300010681E+01  w1_08301993 
   6.09092445374E+01   5.16300010681E+01  w1_09291993 
   6.10319328308E+01   5.16199989319E+01  w1_11021993 
   6.11993064880E+01   5.16699981689E+01  w1_11291993 
   6.14756011963E+01   5.16800003052E+01  w1_01061994 
   6.16580085754E+01   5.16699981689E+01  w1_01201994 
   6.15322647095E+01   5.22700004578E+01  w1_02231994 
   6.19541435242E+01   5.18100013733E+01  w1_03231994 
   6.15464668274E+01   5.17900009155E+01  w1_04271994 
   6.14479217529E+01   5.17599983215E+01  w1_05281994 
   6.11991539001E+01   5.16500015259E+01  w1_06291994 
   6.09808502197E+01   5.14300003052E+01  w1_07271994 
   6.09393157959E+01   5.15900001526E+01  w1_08301994 
   6.09452438354E+01   5.15999984741E+01  w1_09281994 
   6.09633636475E+01   5.15900001526E+01  w1_10241994 
   6.10037689209E+01   5.16399993896E+01  w1_11291994 
   6.12884292603E+01   5.16800003052E+01  w1_12291994 
