Gage_Name, Gage_No, Threshold_cfs, Oct_ExtWet, Nov_ExtWet, Dec_ExtWet, Jan_ExtWet, Feb_ExtWet, Mar_ExtWet, Apr_ExtWet, May_ExtWet, Jun_ExtWet, Jul_ExtWet, Aug_ExtWet, Sep_ExtWet,Oct_Wet, Nov_Wet, Dec_Wet, Jan_Wet, Feb_Wet, Mar_Wet, Apr_Wet, May_Wet, Jun_Wet, Jul_Wet, Aug_Wet, Sep_Wet,Oct_AboveNorm, Nov_AboveNorm, Dec_AboveNorm, Jan_AboveNorm, Feb_AboveNorm, Mar_AboveNorm, Apr_AboveNorm, May_AboveNorm, Jun_AboveNorm, Jul_AboveNorm, Aug_AboveNorm, Sep_AboveNorm,Oct_Norm, Nov_Norm, Dec_Norm, Jan_Norm, Feb_Norm, Mar_Norm, Apr_Norm, May_Norm, Jun_Norm, Jul_Norm, Aug_Norm, Sep_Norm,Oct_BelowNorm, Nov_BelowNorm, Dec_BelowNorm, Jan_BelowNorm, Feb_BelowNorm, Mar_BelowNorm, Apr_BelowNorm, May_BelowNorm, Jun_BelowNorm, Jul_BelowNorm, Aug_BelowNorm, Sep_BelowNorm,Oct_Dry, Nov_Dry, Dec_Dry, Jan_Dry, Feb_Dry, Mar_Dry, Apr_Dry, May_Dry, Jun_Dry, Jul_Dry, Aug_Dry, Sep_Dry,Oct_CritDry, Nov_CritDry, Dec_CritDry, Jan_CritDry, Feb_CritDry, Mar_CritDry, Apr_CritDry, May_CritDry, Jun_CritDry, Jul_CritDry, Aug_CritDry, Sep_CritDry,
ALP,17,20,28.62, 15.88, 15.54, 13.30, 12.13, 12.81, 12.70, 12.81, 12.70, 3.64,  NaN,  NaN, 13.79, 13.15, 14.50, 12.43, 12.20, 12.81, 12.70, 12.81, 12.74,  NaN,  NaN,  NaN, 12.31, 21.88, 12.26, 11.87, 12.25, 12.81, 11.85, 12.81, 11.21,  NaN,  NaN,  NaN, 26.08, 10.98, 15.12, 14.17, 12.48, 12.81, 12.70, 12.81, 16.03,  NaN,  NaN,  NaN,  NaN, 14.83, 13.01, 12.81, 12.31, 12.81, 12.70, 15.13,  NaN,  NaN,  NaN,  NaN, 29.77, 6.94, 11.80, 12.88, 10.71, 12.85, 12.41, 8.19, 3.62,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 28.36, 13.01, 14.71,  NaN,  NaN,  NaN,  NaN,  NaN, 
BL,1,20, NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.03,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
CA,16,20, NaN, 6.84, 3.83, 2.33, 2.67, 3.94, 2.14,  NaN,  NaN,  NaN,  NaN,  NaN, 1.71, 1.69, 3.12, 1.55, 2.59, 1.57, 3.59, 2.10,  NaN,  NaN,  NaN,  NaN, 2.22, 2.03, 2.78, 3.55, 1.51, 2.61, 2.73,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 3.55, 3.45, 2.89, 2.03, 2.74,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.65, 2.83, 2.28, 4.03, 0.36,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 2.48, 1.66, 2.57, 5.19,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 6.35, 0.41,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
CL,14,20, NaN, 7.34, 3.35, 2.83, 2.34, 2.51, 2.48, 2.25, 0.26,  NaN,  NaN,  NaN, 1.06, 0.91, 2.83, 1.69, 2.54, 2.54, 2.31, 2.16, 7.69,  NaN,  NaN,  NaN, 1.63, 1.34, 2.52, 2.72, 2.30, 2.57, 1.68, 2.31,  NaN,  NaN,  NaN,  NaN,  NaN, 4.38, 3.26, 4.46, 1.89, 2.33, 2.16, 3.54,  NaN,  NaN,  NaN,  NaN,  NaN, 0.87, 2.36, 1.51, 2.01, 2.45,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.25, 2.14, 1.86, 3.79, 2.05, 1.62,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 5.52, 0.26,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
CR_blw_PI,56,20, NaN, 6.90, 7.19, 6.16, 5.59, 6.00, 5.87, 6.00, 5.87, 3.57,  NaN,  NaN, 6.87, 6.78, 6.61, 6.04, 5.62, 6.00, 5.87, 6.01, 5.38,  NaN,  NaN,  NaN, 3.96, 8.58, 6.01, 6.11, 5.64, 6.00, 5.76, 6.00, 5.26,  NaN,  NaN,  NaN, 10.63, 7.22, 7.13, 6.52, 5.64, 6.00, 5.87, 5.81, 4.70,  NaN,  NaN,  NaN,  NaN, 8.66, 6.01, 6.00, 5.67, 6.00, 5.87, 5.78,  NaN,  NaN,  NaN,  NaN, 8.55, 4.27, 5.40, 6.81, 5.14, 5.92, 5.79, 5.55, 3.50,  NaN,  NaN, 5.47,  NaN,  NaN,  NaN,  NaN, 9.50, 5.69, 5.62, 5.37,  NaN,  NaN,  NaN,  NaN, 
Carmel_blw_Cachagua,62,20, NaN, 8.05, 7.99, 7.58, 7.21, 7.45, 7.39, 7.45, 7.39, 6.27,  NaN,  NaN, 8.11, 8.10, 7.91, 7.46, 7.23, 7.45, 7.39, 7.45, 7.06,  NaN,  NaN,  NaN, 6.60, 7.79, 7.69, 7.56, 7.24, 7.45, 7.33, 7.45, 6.79,  NaN,  NaN,  NaN, 10.10, 8.24, 7.77, 7.85, 7.26, 7.45, 7.39, 7.24, 6.40,  NaN,  NaN,  NaN,  NaN, 9.39, 7.56, 7.45, 7.26, 7.45, 7.39, 7.10,  NaN,  NaN,  NaN,  NaN, 8.87, 6.66, 7.23, 7.48, 7.02, 7.44, 7.30, 6.68, 5.31,  NaN,  NaN, 7.40,  NaN,  NaN,  NaN,  NaN, 9.23, 7.14, 7.28,  NaN,  NaN,  NaN,  NaN,  NaN, 
DJ,9,20,23.68, 15.68, 15.17, 15.17, 13.37, 15.17, 14.77, 15.17, 14.77, 13.80,  NaN,  NaN, 17.66, 21.89, 16.21, 15.20, 13.53, 15.17, 14.77, 15.17, 14.02, 1.87,  NaN,  NaN, 21.56, 12.10, 16.39, 15.82, 13.64, 15.17, 14.58, 15.17, 12.90,  NaN,  NaN,  NaN, 25.51, 12.91, 19.39, 15.89, 13.64, 15.17, 14.77, 14.22, 9.15,  NaN,  NaN,  NaN,  NaN, 18.28, 15.59, 15.17, 13.78, 15.17, 14.77, 12.59,  NaN,  NaN,  NaN,  NaN, 19.47, 10.57, 15.53, 18.36, 13.48, 15.30, 14.49, 14.03, 5.75, 35.03,  NaN, 14.42,  NaN,  NaN,  NaN,  NaN, 16.85, 11.78, 14.47, 1.72,  NaN,  NaN,  NaN,  NaN, 
GA,8,20, NaN, 9.14, 2.19, 1.86, 1.87, 3.21, 1.44, 3.79, 1.20,  NaN,  NaN,  NaN, 6.84, 0.58, 3.53, 1.36, 2.07, 3.41, 1.49, 1.62, 9.41,  NaN,  NaN,  NaN, 1.25, 0.95, 1.71, 3.44, 2.86, 2.77, 1.32,  NaN,  NaN,  NaN,  NaN,  NaN, 3.82, 4.49, 2.88, 4.68, 2.00, 2.80, 2.84, 1.77,  NaN,  NaN,  NaN,  NaN,  NaN, 7.83, 3.03, 0.67, 2.62, 1.13,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.91, 2.16, 3.96, 1.87, 2.45, 4.59, 2.30,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.28, 0.12, 0.12,  NaN,  NaN,  NaN,  NaN,  NaN, 
GC,7,20, NaN, 3.46, 1.59, 0.70, 1.08, 1.15, 0.96,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.22, 0.44, 0.70, 0.37, 0.57,  NaN,  NaN,  NaN,  NaN,  NaN, 0.76,  NaN, 0.93, 0.82, 0.76,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.73, 1.24, 1.49, 0.68, 1.01,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.72, 0.12, 2.03,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.56,  NaN, 1.26,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.12,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
H1,2,20,17.57, 14.10, 12.78, 13.36, 10.27, 12.92, 12.35, 12.92, 12.35, 9.34,  NaN,  NaN, 18.10, 15.52, 14.99, 12.95, 10.48, 12.92, 12.35, 12.92, 9.72,  NaN,  NaN,  NaN, 14.19, 16.81, 14.29, 13.50, 10.62, 12.92, 11.66, 12.92, 9.76,  NaN,  NaN,  NaN, 25.72, 15.17, 19.94, 14.59, 10.62, 12.92, 12.35, 11.26, 6.74,  NaN,  NaN,  NaN,  NaN, 14.19, 14.21, 12.92, 10.80, 12.92, 12.35, 10.11,  NaN,  NaN,  NaN,  NaN, 16.15, 7.24, 13.41, 16.67, 9.26, 12.75, 11.51, 9.06, 1.34,  NaN,  NaN, 16.05,  NaN,  NaN,  NaN,  NaN, 21.05, 9.13, 11.16,  NaN,  NaN,  NaN,  NaN,  NaN, 
