MPWMD_id	common name	RP_ft	DEM_Adj_m	HRU_X	HRU_Y	Well_X	Well_Y	Roff	Coff	WTE_CorrFx_m	Layer	Row	Col	GSflowNam
100328	Hernstadt mon	178.4	56.305584	610350	4041250	610329.9019	4041233.498	0.165	0.201	-1.915	2	68	149	w1
100544	Sweeney mon	387	112.778339	611650	4040750	611610.559	4040712.684	0.373	0.394	5.209	2	73	162	W2
100861	Druid Hills mon	74.4	22.681794	599850	4044750	599812.9818	4044736.596	0.134	0.37	0.001	1	33	44	w3
100959	Scarlet6	164	40.15	607850	4042350	607849.8856	4042384.5	-0.345	0.001	9.85	1	57	124	w4
100986	Reimers mon	102.5	31.920278	604950	4042850	604955.0638	4042886.278	-0.363	-0.051	-0.67	1	52	95	w5
101095	Coast Ranch mon	29.6	7.357849	597550	4043750	597516.1475	4043793.457	-0.435	0.339	1.667	1	43	21	w6
101096	SP HWY 1	16.5	7.161063	597150	4043750	597169.58	4043783.781	-0.338	-0.196	-2.131	1	43	17	w7
101112	Magnasco 2 mon	150	45.162578	607750	4042250	607752	4042252	-0.02	-0.02	0.569	1	58	123	w8
101290	Los Laureles 6	182	54.9	610650	4040950	610630.299	4040950.945	-0.009	0.197	0.588	1	71	152	w9
101291	Los Laureles 5	178.5	52.421598	610450	4041150	610435.1708	4041105.045	0.45	0.148	1.999	1	69	150	w10
101293	Scarlett 8	139.5	40.15	607850	4042350	607845.3867	4042378.58	-0.286	0.046	2.38	1	57	124	w11
101299	Schulte Production	93.5	26.34099	604350	4043050	604392.7029	4043079.448	-0.294	-0.427	2.165	1	50	89	w12
101300	Pearce Prod 1	81.5	25.893944	603450	4043050	603470.5628	4043040.778	0.092	-0.206	-1.046	1	50	80	w13
101302	Cypress	78.5	24.594521	603050	4043150	603011.632	4043105.448	0.446	0.384	-0.662	1	49	76	w14
101303	San Carlos	52	16.92	600950	4044250	600957.7086	4044286.991	-0.37	-0.077	-1.066	1	38	55	w15
101305	Rancho Canada	37.5	13.8	600050	4044250	600057.0179	4044285.244	-0.352	-0.07	-2.367	1	38	46	w16
101317	Panetta 1	232.5	70.3	612350	4038650	612373.6885	4038691.668	-0.417	-0.237	0.584	2	94	169	w17
101318	Panetta 2	232	68.579139	612350	4038750	612381.5222	4038731.331	0.187	-0.315	2.153	2	93	169	w18
101319	Garzas 3	222	67.898907	611850	4039150	611825.9294	4039177.731	-0.277	0.241	-0.216	2	89	164	w19
101320	Garzas 4	207	61.795582	611450	4039750	611490.639	4039702.919	0.471	-0.406	1.314	2	83	160	w20
102028	Begonia 2	116	31.4	606050	4042550	606036.5796	4042534.544	0.155	0.134	3.966	1	55	106	w21
102029	Manor	105	28.083882	605150	4042850	605130.9158	4042853.922	-0.039	0.191	3.928	1	52	97	w22
102051	Mandleman mon/de maria james	126.69	40.211722	605450	4043150	605405.9224	4043117.485	0.325	0.441	-1.587	1	49	100	w23
102077	Coyote US	142.32	42.680383	607950	4042350	607919.3883	4042328.6	0.214	0.306	0.71	1	57	125	w24
102078	CVR 1	149.7	46.07906	607850	4042150	607890.9101	4042175.874	-0.259	-0.409	-0.439	1	59	124	w25
102079	Womble ABD	153.34	49.103594	608150	4042150	608151.1722	4042134.58	0.154	-0.012	-2.354	1	59	127	w26
102080	Center St.	135.04	39.848557	606450	4042550	606417	4042561	-0.11	0.33	1.322	1	55	110	w27
102083	CVR 8	143.54	43.088369	606950	4042150	606999.6058	4042195.516	-0.455	-0.496	0.674	1	59	115	w28
102084	CVR 5	145.84	47.431157	607150	4042050	607118.1403	4042009.648	0.404	0.319	-2.968	1	60	117	w29
102086	Reimers1	102.1	27.62146	604950	4042750	604973	4042749	0.01	-0.23	3.507	1	53	95	w30
