SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
53  51  w1_10231990
53  52  w1_11261990
53  52  w1_12191990
54  52  w1_01041991
54  52  w1_02051991
54  52  w1_03051991
54  52  w1_03221991
53  52  w1_04021991
53  52  w1_04091991
53  52  w1_04181991
53  52  w1_05031991
53  52  w1_06061991
53  52  w1_07051991
53  52  w1_08081991
53  52  w1_09041991
53  51  w1_11151991
53  51  w1_12091991
54  52  w1_01061992
53  52  w1_02051992
53  52  w1_03021992
53  52  w1_03131992
53  52  w1_04021992
53  51  w1_05081992
53  51  w1_06091992
53  51  w1_07071992
53  51  w1_08101992
53  51  w1_09101992
53  51  w1_10191992
53  51  w1_11121992
53  51  w1_12021992
53  52  w1_12311992
53  52  w1_01251993
54  52  w1_03031993
54  52  w1_04021993
54  52  w1_05041993
53  52  w1_06091993
53  52  w1_06291993
53  52  w1_07281993
53  52  w1_08301993
53  52  w1_09291993
53  52  w1_11021993
53  52  w1_11291993
54  52  w1_01061994
54  52  w1_01201994
53  52  w1_02231994
54  52  w1_03231994
54  52  w1_04271994
54  52  w1_05281994
54  52  w1_06291994
53  51  w1_07271994
53  52  w1_08301994
53  52  w1_09281994
53  52  w1_10241994
53  52  w1_11291994
53  52  w1_12291994
53  53  w1_01251995
53  52  w1_02271995
54  52  w1_03161995
54  52  w1_03291995
54  51  w1_04261995
54  51  w1_05301995
53  51  w1_06301995
53  51  w1_07281995
53  51  w1_09051995
53  51  w1_10051995
53  51  w1_10311995
53  51  w1_11271995
54  51  w1_12261995
54  52  w1_02071996
54  52  w1_02281996
54  51  w1_03291996
54  51  w1_04291996
53  51  w1_05291996
53  51  w1_07011996
53  51  w1_07251996
53  51  w1_08291996
53  51  w1_09271996
53  51  w1_11011996
53  51  w1_12031996
53  52  w1_12271996
53  52  w1_01311997
54  52  w1_02271997
54  51  w1_03281997
54  51  w1_04281997
54  51  w1_05291997
54  51  w1_07091997
53  51  w1_08051997
53  51  w1_08271997
53  51  w1_09301997
53  51  w1_10301997
53  51  w1_11241997
54  51  w1_12301997
53  51  w1_01281998
53  52  w1_01291998
53  52  w1_02261998
53  52  w1_03311998
54  52  w1_05121998
53  52  w1_06011998
53  51  w1_07011998
53  51  w1_08041998
53  51  w1_08281998
53  51  w1_10281998
53  51  w1_12021998
53  51  w1_01041999
53  51  w1_01291999
54  52  w1_02241999
54  52  w1_04021999
54  51  w1_04301999
53  51  w1_06021999
53  51  w1_07011999
53  51  w1_07271999
53  51  w1_08311999
53  51  w1_10081999
53  51  w1_10281999
53  51  w1_11301999
53  52  w1_01052000
54  52  w1_01312000
54  52  w1_02252000
54  51  w1_04032000
54  51  w1_04252000
54  51  w1_05312000
53  51  w1_06282000
53  51  w1_07312000
53  51  w1_08292000
53  51  w1_10032000
53  51  w1_10312000
54  51  w1_11302000
54  51  w1_12202000
54  51  w1_02022001
54  51  w1_02282001
54  51  w1_04052001
54  51  w1_05012001
53  51  w1_05242001
53  51  w1_07092001
53  51  w1_07232001
53  51  w1_08302001
53  51  w1_09272001
53  51  w1_11082001
53  51  w1_11302001
54  51  w1_12202001
54  51  w1_01302002
54  51  w1_03042002
54  51  w1_03262002
54  51  w1_04262002
54  51  w1_05282002
53  51  w1_06252002
53  51  w1_07292002
53  51  w1_08282002
53  51  w1_10022002
53  51  w1_11072002
53  51  w1_12022002
54  52  w1_12302002
54  51  w1_01302003
54  51  w1_02242003
54  51  w1_03262003
54  51  w1_04292003
53  51  w1_05272003
53  51  w1_06262003
53  51  w1_07292003
53  51  w1_08282003
53  51  w1_09262003
53  51  w1_10252003
53  51  w1_11262003
53  51  w1_12222003
54  51  w1_01262004
54  52  w1_02232004
54  51  w1_04012004
54  51  w1_04302004
54  51  w1_05272004
54  51  w1_06292004
53  51  w1_08042004
53  51  w1_08302004
53  51  w1_09292004
53  51  w1_10272004
53  51  w1_12012004
53  51  w1_12282004
54  52  w1_02092005
54  52  w1_02272005
54  52  w1_03302005
54  51  w1_05022005
54  51  w1_05262005
54  51  w1_06302005
53  51  w1_07282005
53  51  w1_08312005
53  51  w1_09282005
53  51  w1_10282005
53  51  w1_12062005
54  52  w1_01062006
53  51  w1_02012006
54  52  w1_03022006
54  52  w1_03292006
54  52  w1_04262006
53  51  w1_05252006
53  51  w1_07062006
53  51  w1_08102006
53  51  w1_09012006
53  51  w1_10042006
53  51  w1_11012006
53  51  w1_11292006
53  51  w1_12222006
54  51  w1_02052007
54  52  w1_02272007
54  51  w1_03272007
54  51  w1_05012007
53  51  w1_05312007
53  51  w1_06272007
53  51  w1_08022007
53  51  w1_08312007
53  51  w1_10022007
53  51  w1_11022007
53  51  w1_11292007
53  51  w1_12202007
53  52  w1_01102008
53  52  w1_02012008
54  52  w1_02292008
54  51  w1_03212008
54  51  w1_04282008
53  51  w1_05302008
53  51  w1_07022008
53  51  w1_07302008
53  51  w1_09042008
53  51  w1_10022008
53  51  w1_10292008
53  51  w1_12032008
53  51  w1_01082009
54  51  w1_01302009
54  52  w1_02252009
54  52  w1_03302009
54  51  w1_05012009
54  51  w1_06012009
53  51  w1_06242009
53  51  w1_08052009
53  51  w1_09012009
53  51  w1_09302009
53  52  w1_10162009
53  51  w1_11042009
53  51  w1_12032009
54  51  w1_01052010
54  52  w1_01292010
54  52  w1_03042010
54  52  w1_03302010
