"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.22753829956E+01   5.13300018311E+01  w1_10231990 
   5.27041168213E+01   5.15200004578E+01  w1_11261990 
   5.28398666382E+01   5.15000000000E+01  w1_12191990 
   5.30096740723E+01   5.15999984741E+01  w1_01041991 
   5.31064643860E+01   5.15800018311E+01  w1_02051991 
   5.33684844971E+01   5.22099990845E+01  w1_03051991 
   5.34104270935E+01   5.23699989319E+01  w1_03221991 
   5.29364089966E+01   5.20999984741E+01  w1_04021991 
   5.28282585144E+01   5.19599990845E+01  w1_04091991 
   5.27201652527E+01   5.18499984741E+01  w1_04181991 
   5.25743141174E+01   5.17900009155E+01  w1_05031991 
   5.28813743591E+01   5.17299995422E+01  w1_06061991 
   5.29468345642E+01   5.15600013733E+01  w1_07051991 
   5.29658966064E+01   5.15900001526E+01  w1_08081991 
   5.29822731018E+01   5.15600013733E+01  w1_09041991 
   5.30787315369E+01   5.13199996948E+01  w1_11151991 
   5.31605682373E+01   5.13100013733E+01  w1_12091991 
   5.34016036987E+01   5.16800003052E+01  w1_01061992 
   5.30105590820E+01   5.15200004578E+01  w1_02051992 
   5.25817756653E+01   5.17799987793E+01  w1_03021992 
   5.24487648010E+01   5.18400001526E+01  w1_03131992 
   5.31894493103E+01   5.16800003052E+01  w1_04021992 
   5.33051452637E+01   5.14900016785E+01  w1_05081992 
   5.33056488037E+01   5.14199981689E+01  w1_06091992 
   5.32170677185E+01   5.13400001526E+01  w1_07071992 
   5.31485252380E+01   5.13100013733E+01  w1_08101992 
   5.31322021484E+01   5.13100013733E+01  w1_09101992 
   5.31486167908E+01   5.13499984741E+01  w1_10191992 
   5.32143974304E+01   5.13600006104E+01  w1_11121992 
   5.32424011230E+01   5.13600006104E+01  w1_12021992 
   5.33024368286E+01   5.19900016785E+01  w1_12311992 
   5.33478622437E+01   5.22500000000E+01  w1_01251993 
   5.34971542358E+01   5.21899986267E+01  w1_03031993 
   5.34281768799E+01   5.20699996948E+01  w1_04021993 
   5.34574089050E+01   5.19099998474E+01  w1_05041993 
   5.33504180908E+01   5.18300018311E+01  w1_06091993 
   5.32872161865E+01   5.17400016785E+01  w1_06291993 
   5.32276802063E+01   5.16699981689E+01  w1_07281993 
   5.31864318848E+01   5.16300010681E+01  w1_08301993 
   5.31886024475E+01   5.16300010681E+01  w1_09291993 
   5.32211265564E+01   5.16199989319E+01  w1_11021993 
   5.33324317932E+01   5.16699981689E+01  w1_11291993 
   5.34443054199E+01   5.16800003052E+01  w1_01061994 
   5.35900917053E+01   5.16699981689E+01  w1_01201994 
   5.29734992981E+01   5.22700004578E+01  w1_02231994 
   5.37186241150E+01   5.18100013733E+01  w1_03231994 
   5.36488876343E+01   5.17900009155E+01  w1_04271994 
   5.36213188171E+01   5.17599983215E+01  w1_05281994 
   5.34918251038E+01   5.16500015259E+01  w1_06291994 
   5.33732109070E+01   5.14300003052E+01  w1_07271994 
   5.32855300903E+01   5.15900001526E+01  w1_08301994 
   5.32582778931E+01   5.15999984741E+01  w1_09281994 
   5.32482147217E+01   5.15900001526E+01  w1_10241994 
   5.32541389465E+01   5.16399993896E+01  w1_11291994 
   5.31189079285E+01   5.16800003052E+01  w1_12291994 
   5.30230216980E+01   5.26699981689E+01  w1_01251995 
   5.31793899536E+01   5.17599983215E+01  w1_02271995 
   5.35125541687E+01   5.21500015259E+01  w1_03161995 
   5.35451240540E+01   5.20499992371E+01  w1_03291995 
   5.35456695557E+01   5.14099998474E+01  w1_04261995 
   5.34979095459E+01   5.13100013733E+01  w1_05301995 
   5.33546714783E+01   5.12200012207E+01  w1_06301995 
   5.32606315613E+01   5.11100006104E+01  w1_07281995 
   5.32203559875E+01   5.10600013733E+01  w1_09051995 
   5.32166595459E+01   5.10400009155E+01  w1_10051995 
   5.32643737793E+01   5.10200004578E+01  w1_10311995 
   5.34372329712E+01   5.10400009155E+01  w1_11271995 
   5.37371711731E+01   5.11599998474E+01  w1_12261995 
   5.38193283081E+01   5.17700004578E+01  w1_02071996 
   5.37343482971E+01   5.18300018311E+01  w1_02281996 
   5.36017875671E+01   5.14300003052E+01  w1_03291996 
   5.34820060730E+01   5.12700004578E+01  w1_04291996 
   5.33319625854E+01   5.12000007629E+01  w1_05291996 
   5.32605934143E+01   5.11100006104E+01  w1_07011996 
   5.32193260193E+01   5.10900001526E+01  w1_07251996 
   5.31811103821E+01   5.10699996948E+01  w1_08291996 
   5.31765441895E+01   5.10400009155E+01  w1_09271996 
   5.31892127991E+01   5.10400009155E+01  w1_11011996 
   5.33656120300E+01   5.11399993896E+01  w1_12031996 
   5.34384651184E+01   5.15699996948E+01  w1_12271996 
   5.30214080811E+01   5.21199989319E+01  w1_01311997 
   5.34575347900E+01   5.15900001526E+01  w1_02271997 
   5.36445732117E+01   5.14500007629E+01  w1_03281997 
   5.37634429932E+01   5.13800010681E+01  w1_04281997 
   5.37005386353E+01   5.12900009155E+01  w1_05291997 
   5.35342025757E+01   5.12400016785E+01  w1_07091997 
   5.33972702026E+01   5.12400016785E+01  w1_08051997 
   5.33520355225E+01   5.12299995422E+01  w1_08271997 
   5.33233070374E+01   5.12400016785E+01  w1_09301997 
   5.33378143311E+01   5.12099990845E+01  w1_10301997 
   5.33632240295E+01   5.12799987793E+01  w1_11241997 
   5.34614486694E+01   5.14799995422E+01  w1_12301997 
   5.34160118103E+01   5.12400016785E+01  w1_01281998 
   5.34110374451E+01   5.19300003052E+01  w1_01291998 
   5.32473487854E+01   5.23100013733E+01  w1_02261998 
   5.33891448975E+01   5.18100013733E+01  w1_03311998 
   5.34588203430E+01   5.16300010681E+01  w1_05121998 
   5.33983116150E+01   5.15600013733E+01  w1_06011998 
   5.33058624268E+01   5.14199981689E+01  w1_07011998 
   5.31058959961E+01   5.13100013733E+01  w1_08041998 
   5.28800773621E+01   5.12599983215E+01  w1_08281998 
   5.27380294800E+01   5.12299995422E+01  w1_10281998 
   5.30356559753E+01   5.13499984741E+01  w1_12021998 
   5.31244544983E+01   5.12999992371E+01  w1_01041999 
   5.33763427734E+01   5.14799995422E+01  w1_01291999 
   5.35637054443E+01   5.15299987793E+01  w1_02241999 
   5.35373878479E+01   5.15800018311E+01  w1_04021999 
   5.35292434692E+01   5.14300003052E+01  w1_04301999 
   5.33865432739E+01   5.13600006104E+01  w1_06021999 
   5.32834358215E+01   5.12599983215E+01  w1_07011999 
   5.32213401794E+01   5.12299995422E+01  w1_07271999 
   5.31754875183E+01   5.11800003052E+01  w1_08311999 
   5.31573486328E+01   5.11800003052E+01  w1_10081999 
   5.32342872620E+01   5.12200012207E+01  w1_10281999 
   5.32621002197E+01   5.12000007629E+01  w1_11301999 
   5.33114395142E+01   5.15299987793E+01  w1_01052000 
   5.35075950623E+01   5.15299987793E+01  w1_01312000 
   5.36627655029E+01   5.18100013733E+01  w1_02252000 
   5.36721763611E+01   5.14000015259E+01  w1_04032000 
   5.36732330322E+01   5.13800010681E+01  w1_04252000 
   5.34921379089E+01   5.12700004578E+01  w1_05312000 
   5.33795967102E+01   5.11800003052E+01  w1_06282000 
   5.33137741089E+01   5.11500015259E+01  w1_07312000 
   5.32813873291E+01   5.11300010681E+01  w1_08292000 
   5.32656860352E+01   5.11300010681E+01  w1_10032000 
   5.32762641907E+01   5.11500015259E+01  w1_10312000 
   5.34295158386E+01   5.11599998474E+01  w1_11302000 
   5.34861946106E+01   5.11899986267E+01  w1_12202000 
   5.35728263855E+01   5.13100013733E+01  w1_02022001 
   5.35601196289E+01   5.13800010681E+01  w1_02282001 
   5.35314750671E+01   5.13499984741E+01  w1_04052001 
   5.34678535461E+01   5.13400001526E+01  w1_05012001 
   5.34178657532E+01   5.12299995422E+01  w1_05242001 
   5.32908668518E+01   5.11500015259E+01  w1_07092001 
   5.32729072571E+01   5.10800018311E+01  w1_07232001 
   5.32371139526E+01   5.10800018311E+01  w1_08302001 
   5.32216300964E+01   5.10800018311E+01  w1_09272001 
   5.34080657959E+01   5.11300010681E+01  w1_11082001 
   5.33519783020E+01   5.12000007629E+01  w1_11302001 
   5.35852432251E+01   5.12999992371E+01  w1_12202001 
   5.36580924988E+01   5.13499984741E+01  w1_01302002 
   5.36308097839E+01   5.12900009155E+01  w1_03042002 
   5.36549110413E+01   5.13600006104E+01  w1_03262002 
   5.36557197571E+01   5.13199996948E+01  w1_04262002 
   5.35613937378E+01   5.12200012207E+01  w1_05282002 
   5.34387245178E+01   5.11599998474E+01  w1_06252002 
   5.33080368042E+01   5.10900001526E+01  w1_07292002 
   5.32711143494E+01   5.10699996948E+01  w1_08282002 
   5.32526664734E+01   5.10600013733E+01  w1_10022002 
   5.32775001526E+01   5.11800003052E+01  w1_11072002 
   5.33172111511E+01   5.11800003052E+01  w1_12022002 
   5.36608543396E+01   5.17299995422E+01  w1_12302002 
   5.35840492249E+01   5.14000015259E+01  w1_01302003 
   5.37534828186E+01   5.13600006104E+01  w1_02242003 
   5.36645736694E+01   5.13400001526E+01  w1_03262003 
   5.35351257324E+01   5.14399986267E+01  w1_04292003 
   5.34318504333E+01   5.13300018311E+01  w1_05272003 
   5.33379936218E+01   5.12200012207E+01  w1_06262003 
   5.32709274292E+01   5.13400001526E+01  w1_07292003 
   5.32371749878E+01   5.11100006104E+01  w1_08282003 
   5.32182846069E+01   5.11399993896E+01  w1_09262003 
   5.33315811157E+01   5.11300010681E+01  w1_10252003 
   5.33612899780E+01   5.11300010681E+01  w1_11262003 
   5.34109840393E+01   5.11899986267E+01  w1_12222003 
   5.36764259338E+01   5.13100013733E+01  w1_01262004 
   5.37712821960E+01   5.15200004578E+01  w1_02232004 
   5.37905197144E+01   5.13300018311E+01  w1_04012004 
   5.37272377014E+01   5.11800003052E+01  w1_04302004 
   5.36246566772E+01   5.12200012207E+01  w1_05272004 
   5.34734573364E+01   5.11399993896E+01  w1_06292004 
   5.33473358154E+01   5.11100006104E+01  w1_08042004 
   5.33068885803E+01   5.08300018311E+01  w1_08302004 
   5.32897338867E+01   5.08699989319E+01  w1_09292004 
   5.32880439758E+01   5.08499984741E+01  w1_10272004 
   5.33125610352E+01   5.09700012207E+01  w1_12012004 
   5.34626007080E+01   5.11800003052E+01  w1_12282004 
   5.35830879211E+01   5.15099983215E+01  w1_02092005 
   5.36012954712E+01   5.23800010681E+01  w1_02272005 
