Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   20.00  02-Oct-1991     07-Oct-1991   U         6         3.06
    17  ALP.gg18   20.00  09-Oct-1991     27-Oct-1991   U        19         5.80
    17  ALP.gg18   20.00  29-Oct-1991     28-Dec-1991   U        61         4.29
    17  ALP.gg18   20.00  29-Dec-1991     04-Jan-1992   O         7       109.87
    17  ALP.gg18   20.00  06-Jan-1992     26-Jan-1992   O        21        46.52
    17  ALP.gg18   20.00  27-Jan-1992     28-Jan-1992   U         2        19.26
    17  ALP.gg18   20.00  29-Jan-1992     11-May-1992   O       104       161.13
    17  ALP.gg18   20.00  12-May-1992     03-Dec-1992   U       206         3.85
    17  ALP.gg18   20.00  04-Dec-1992     16-Dec-1992   O        13        39.58
    17  ALP.gg18   20.00  17-Dec-1992     29-Dec-1992   U        13        11.76
    17  ALP.gg18   20.00  30-Dec-1992     30-May-1993   O       152       250.51
    17  ALP.gg18   20.00  01-Jun-1993     02-Jun-1993   O         2        20.41
    17  ALP.gg18   20.00  03-Jun-1993     05-Jun-1993   U         3        18.74
    17  ALP.gg18   20.00  06-Jun-1993     12-Jun-1993   O         7        25.21
    17  ALP.gg18   20.00  13-Jun-1993     11-Nov-1993   U       152         3.65
    17  ALP.gg18   20.00  12-Nov-1993     14-Nov-1993   O         3        61.43
    17  ALP.gg18   20.00  15-Nov-1993     30-Nov-1993   U        16         7.97
    17  ALP.gg18   20.00  02-Dec-1993     11-Dec-1993   U        10        10.95
    17  ALP.gg18   20.00  12-Dec-1993     18-Dec-1993   O         7        44.28
    17  ALP.gg18   20.00  19-Dec-1993     23-Jan-1994   U        36         5.65
    17  ALP.gg18   20.00  24-Jan-1994     02-Feb-1994   O        10        44.91
    17  ALP.gg18   20.00  03-Feb-1994     07-Feb-1994   U         5        17.35
    17  ALP.gg18   20.00  08-Feb-1994     01-Jun-1994   O       114        56.89
    17  ALP.gg18   20.00  02-Jun-1994     05-Oct-1994   U       126         4.49
    17  ALP.gg18   20.00  06-Oct-1994     08-Oct-1994   O         3        43.68
    17  ALP.gg18   20.00  09-Oct-1994     10-Nov-1994   U        33         3.92
    17  ALP.gg18   20.00  11-Nov-1994     15-Nov-1994   O         5        47.88
    17  ALP.gg18   20.00  16-Nov-1994     26-Nov-1994   U        11        11.89
    17  ALP.gg18   20.00  27-Nov-1994     29-Nov-1994   O         3        30.75
    17  ALP.gg18   20.00  30-Nov-1994     13-Dec-1994   U        14         8.30
    17  ALP.gg18   20.00  14-Dec-1994     18-Dec-1994   O         5        29.96
    17  ALP.gg18   20.00  19-Dec-1994     24-Dec-1994   U         6         9.33
    17  ALP.gg18   20.00  25-Dec-1994     29-Dec-1994   O         5        26.29
    17  ALP.gg18   20.00  30-Dec-1994     03-Jan-1995   U         5        13.39
    17  ALP.gg18   20.00  04-Jan-1995     03-Jul-1995   O       181       245.03
    17  ALP.gg18   20.00  04-Jul-1995     12-Dec-1995   U       162         4.34
    17  ALP.gg18   20.00  13-Dec-1995     21-Dec-1995   O         9       106.08
    17  ALP.gg18   20.00  23-Dec-1995     28-Dec-1995   O         6        26.09
    17  ALP.gg18   20.00  29-Dec-1995     01-Jan-1996   U         4        17.35
    17  ALP.gg18   20.00  02-Jan-1996     03-Jan-1996   O         2        23.68
    17  ALP.gg18   20.00  04-Jan-1996     17-Jan-1996   U        14        12.42
    17  ALP.gg18   20.00  18-Jan-1996     10-Jun-1996   O       145       138.17
    17  ALP.gg18   20.00  11-Jun-1996     29-Oct-1996   U       141         4.42
    17  ALP.gg18   20.00  30-Oct-1996     01-Nov-1996   O         3        27.26
    17  ALP.gg18   20.00  02-Nov-1996     17-Nov-1996   U        16         6.51
    17  ALP.gg18   20.00  18-Nov-1996     29-Nov-1996   O        12        65.39
    17  ALP.gg18   20.00  30-Nov-1996     09-Dec-1996   U        10        14.41
    17  ALP.gg18   20.00  10-Dec-1996     23-Apr-1997   O       135       170.96
    17  ALP.gg18   20.00  24-Apr-1997     11-Nov-1997   U       202         4.01
    17  ALP.gg18   20.00  12-Nov-1997     13-Nov-1997   O         2        35.66
    17  ALP.gg18   20.00  14-Nov-1997     15-Nov-1997   U         2        16.67
    17  ALP.gg18   20.00  16-Nov-1997     22-Nov-1997   O         7        47.67
    17  ALP.gg18   20.00  23-Nov-1997     26-Nov-1997   U         4        12.99
    17  ALP.gg18   20.00  27-Nov-1997     04-Jul-1998   O       220       317.02
    17  ALP.gg18   20.00  05-Jul-1998     11-Nov-1998   U       130         4.97
    17  ALP.gg18   20.00  12-Nov-1998     14-Nov-1998   O         3        30.18
    17  ALP.gg18   20.00  15-Nov-1998     28-Nov-1998   U        14         6.27
    17  ALP.gg18   20.00  29-Nov-1998     11-Dec-1998   O        13        51.49
    17  ALP.gg18   20.00  12-Dec-1998     20-Jan-1999   U        40         9.77
    17  ALP.gg18   20.00  21-Jan-1999     31-May-1999   O       131        87.19
    17  ALP.gg18   20.00  01-Jun-1999     04-Jun-1999   U         4        19.03
    17  ALP.gg18   20.00  05-Jun-1999     08-Jun-1999   O         4        21.18
    17  ALP.gg18   20.00  09-Jun-1999     08-Nov-1999   U       153         4.31
    17  ALP.gg18   20.00  10-Nov-1999     16-Jan-2000   U        68         5.50
    17  ALP.gg18   20.00  17-Jan-2000     03-Jun-2000   O       139       121.46
    17  ALP.gg18   20.00  04-Jun-2000     08-Jun-2000   U         5        17.63
    17  ALP.gg18   20.00  09-Jun-2000     11-Jun-2000   O         3        24.31
    17  ALP.gg18   20.00  12-Jun-2000     10-Oct-2000   U       121         4.51
    17  ALP.gg18   20.00  11-Oct-2000     17-Oct-2000   O         7        32.76
    17  ALP.gg18   20.00  18-Oct-2000     27-Oct-2000   U        10         6.94
    17  ALP.gg18   20.00  28-Oct-2000     03-Nov-2000   O         7        48.22
    17  ALP.gg18   20.00  04-Nov-2000     08-Jan-2001   U        66         5.03
    17  ALP.gg18   20.00  09-Jan-2001     30-May-2001   O       142       128.04
    17  ALP.gg18   20.00  31-May-2001     12-Nov-2001   U       166         4.27
    17  ALP.gg18   20.00  13-Nov-2001     18-Nov-2001   O         6        55.26
    17  ALP.gg18   20.00  19-Nov-2001     24-Nov-2001   U         6        10.14
    17  ALP.gg18   20.00  25-Nov-2001     10-May-2002   O       167        64.03
    17  ALP.gg18   20.00  11-May-2002     08-Nov-2002   U       182         4.43
    17  ALP.gg18   20.00  09-Nov-2002     16-Nov-2002   O         8       135.36
    17  ALP.gg18   20.00  17-Nov-2002     10-Dec-2002   U        24        10.89
    17  ALP.gg18   20.00  12-Dec-2002     14-Dec-2002   U         3        13.97
    17  ALP.gg18   20.00  15-Dec-2002     13-Jun-2003   O       181       140.91
    17  ALP.gg18   20.00  14-Jun-2003     09-Nov-2003   U       149         4.80
    17  ALP.gg18   20.00  10-Nov-2003     11-Nov-2003   O         2        22.22
    17  ALP.gg18   20.00  12-Nov-2003     01-Dec-2003   U        20         6.79
    17  ALP.gg18   20.00  03-Dec-2003     10-Dec-2003   U         8        11.71
    17  ALP.gg18   20.00  11-Dec-2003     14-Dec-2003   O         4        44.68
    17  ALP.gg18   20.00  16-Dec-2003     18-Dec-2003   O         3        24.81
    17  ALP.gg18   20.00  19-Dec-2003     20-Dec-2003   U         2        13.28
    17  ALP.gg18   20.00  21-Dec-2003     22-Dec-2003   O         2        23.84
    17  ALP.gg18   20.00  23-Dec-2003     25-Dec-2003   U         3        17.92
    17  ALP.gg18   20.00  26-Dec-2003     08-May-2004   O       135       148.21
    17  ALP.gg18   20.00  09-May-2004     17-Oct-2004   U       162         4.55
    17  ALP.gg18   20.00  18-Oct-2004     31-Oct-2004   O        14        48.61
    17  ALP.gg18   20.00  01-Nov-2004     07-Dec-2004   U        37         9.58
    17  ALP.gg18   20.00  08-Dec-2004     13-Dec-2004   O         6        44.95
    17  ALP.gg18   20.00  14-Dec-2004     27-Dec-2004   U        14        12.95
    17  ALP.gg18   20.00  28-Dec-2004     19-Jun-2005   O       174       197.45
    17  ALP.gg18   20.00  20-Jun-2005     29-Nov-2005   U       163         4.54
    17  ALP.gg18   20.00  01-Dec-2005     02-Dec-2005   U         2        17.64
    17  ALP.gg18   20.00  03-Dec-2005     08-Dec-2005   O         6        69.29
    17  ALP.gg18   20.00  09-Dec-2005     19-Dec-2005   U        11         7.34
    17  ALP.gg18   20.00  20-Dec-2005     21-Jun-2006   O       184       170.69
    17  ALP.gg18   20.00  22-Jun-2006     14-Nov-2006   U       146         4.64
    17  ALP.gg18   20.00  15-Nov-2006     17-Nov-2006   O         3        48.24
    17  ALP.gg18   20.00  18-Nov-2006     09-Dec-2006   U        22         6.29
    17  ALP.gg18   20.00  10-Dec-2006     16-Dec-2006   O         7        51.50
    17  ALP.gg18   20.00  17-Dec-2006     27-Dec-2006   U        11        15.13
    17  ALP.gg18   20.00  28-Dec-2006     01-Jan-2007   O         5        29.55
    17  ALP.gg18   20.00  02-Jan-2007     11-Feb-2007   U        41        10.61
    17  ALP.gg18   20.00  12-Feb-2007     18-Feb-2007   O         7        37.03
    17  ALP.gg18   20.00  19-Feb-2007     22-Feb-2007   U         4        17.56
    17  ALP.gg18   20.00  23-Feb-2007     06-May-2007   O        73        39.71
    17  ALP.gg18   20.00  07-May-2007     07-Dec-2007   U       215         4.28
    17  ALP.gg18   20.00  08-Dec-2007     10-Dec-2007   O         3        52.36
    17  ALP.gg18   20.00  11-Dec-2007     19-Dec-2007   U         9         7.93
    17  ALP.gg18   20.00  20-Dec-2007     23-Dec-2007   O         4        31.62
    17  ALP.gg18   20.00  24-Dec-2007     04-Jan-2008   U        12         8.34
    17  ALP.gg18   20.00  05-Jan-2008     13-May-2008   O       130       145.86
    17  ALP.gg18   20.00  14-May-2008     03-Nov-2008   U       174         4.30
    17  ALP.gg18   20.00  04-Nov-2008     05-Nov-2008   O         2        52.58
    17  ALP.gg18   20.00  06-Nov-2008     09-Nov-2008   U         4        12.48
    17  ALP.gg18   20.00  10-Nov-2008     12-Nov-2008   O         3        24.83
    17  ALP.gg18   20.00  13-Nov-2008     28-Nov-2008   U        16         7.51
    17  ALP.gg18   20.00  29-Nov-2008     03-Dec-2008   O         5        25.83
    17  ALP.gg18   20.00  04-Dec-2008     15-Dec-2008   U        12         5.23
    17  ALP.gg18   20.00  16-Dec-2008     19-Dec-2008   O         4        55.52
    17  ALP.gg18   20.00  20-Dec-2008     22-Dec-2008   U         3        13.50
    17  ALP.gg18   20.00  23-Dec-2008     24-Dec-2008   O         2        27.99
    17  ALP.gg18   20.00  26-Dec-2008     28-Dec-2008   O         3        35.46
    17  ALP.gg18   20.00  29-Dec-2008     22-Jan-2009   U        25         8.77
    17  ALP.gg18   20.00  23-Jan-2009     31-Jan-2009   O         9        35.18
    17  ALP.gg18   20.00  01-Feb-2009     06-Feb-2009   U         6        16.55
    17  ALP.gg18   20.00  07-Feb-2009     22-May-2009   O       105       117.31
    17  ALP.gg18   20.00  23-May-2009     13-Oct-2009   U       144         4.71
    17  ALP.gg18   20.00  14-Oct-2009     17-Oct-2009   O         4       206.85
    17  ALP.gg18   20.00  18-Oct-2009     07-Dec-2009   U        51         6.40
    17  ALP.gg18   20.00  08-Dec-2009     04-Jan-2010   O        28        31.05
    17  ALP.gg18   20.00  05-Jan-2010     13-Jan-2010   U         9        16.64
    17  ALP.gg18   20.00  14-Jan-2010     20-Jun-2010   O       158       172.93
    17  ALP.gg18   20.00  21-Jun-2010     22-Nov-2010   U       155         4.97
    17  ALP.gg18   20.00  23-Nov-2010     29-Nov-2010   O         7       118.05
    17  ALP.gg18   20.00  30-Nov-2010     06-Dec-2010   U         7        11.72
    17  ALP.gg18   20.00  07-Dec-2010     09-Dec-2010   O         3        27.20
    17  ALP.gg18   20.00  10-Dec-2010     19-Dec-2010   U        10         9.89
    17  ALP.gg18   20.00  20-Dec-2010     26-Jun-2011   O       189       132.99
    17  ALP.gg18   20.00  27-Jun-2011     05-Oct-2011   U       101         5.38
    17  ALP.gg18   20.00  06-Oct-2011     11-Oct-2011   O         6        41.71
    17  ALP.gg18   20.00  12-Oct-2011     14-Nov-2011   U        34         7.70
    17  ALP.gg18   20.00  15-Nov-2011     20-Nov-2011   O         6        27.51
    17  ALP.gg18   20.00  22-Nov-2011     24-Nov-2011   O         3        51.21
    17  ALP.gg18   20.00  25-Nov-2011     21-Jan-2012   U        58         4.74
    17  ALP.gg18   20.00  22-Jan-2012     30-Jan-2012   O         9        66.15
    17  ALP.gg18   20.00  31-Jan-2012     14-Feb-2012   U        15        14.46
    17  ALP.gg18   20.00  15-Feb-2012     21-Feb-2012   O         7        21.92
    17  ALP.gg18   20.00  22-Feb-2012     17-Mar-2012   U        25        13.84
    17  ALP.gg18   20.00  18-Mar-2012     26-May-2012   O        70        77.13
    17  ALP.gg18   20.00  27-May-2012     30-Nov-2012   U       188         5.00
    17  ALP.gg18   20.00  01-Dec-2012     20-Apr-2013   O       141        77.69
    17  ALP.gg18   20.00  21-Apr-2013     03-Feb-2014   U       289         3.71
    17  ALP.gg18   20.00  04-Feb-2014     05-Feb-2014   O         2        27.59
    17  ALP.gg18   20.00  07-Feb-2014     09-Feb-2014   O         3        25.90
    17  ALP.gg18   20.00  10-Feb-2014     27-Feb-2014   U        18         5.84
    17  ALP.gg18   20.00  28-Feb-2014     08-Mar-2014   O         9       127.14
    17  ALP.gg18   20.00  09-Mar-2014     31-Mar-2014   U        23        10.73
