"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.21527099609E+01   5.13300018311E+01  w1_10231990 
   5.29464454651E+01   5.15200004578E+01  w1_11261990 
   5.32256088257E+01   5.15000000000E+01  w1_12191990 
   5.36351928711E+01   5.15999984741E+01  w1_01041991 
   5.38853874207E+01   5.15800018311E+01  w1_02051991 
   5.33855323792E+01   5.22099990845E+01  w1_03051991 
   5.39062271118E+01   5.23699989319E+01  w1_03221991 
   5.38800468445E+01   5.20999984741E+01  w1_04021991 
   5.39018173218E+01   5.19599990845E+01  w1_04091991 
   5.39004898071E+01   5.18499984741E+01  w1_04181991 
   5.38677673340E+01   5.17900009155E+01  w1_05031991 
   5.38083381653E+01   5.17299995422E+01  w1_06061991 
   5.37607040405E+01   5.15600013733E+01  w1_07051991 
   5.37352409363E+01   5.15900001526E+01  w1_08081991 
   5.37382392883E+01   5.15600013733E+01  w1_09041991 
   5.37896308899E+01   5.13199996948E+01  w1_11151991 
   5.39059295654E+01   5.13100013733E+01  w1_12091991 
   5.43187332153E+01   5.16800003052E+01  w1_01061992 
   5.37696113586E+01   5.15200004578E+01  w1_02051992 
   5.39977798462E+01   5.17799987793E+01  w1_03021992 
   5.37429199219E+01   5.18400001526E+01  w1_03131992 
   5.35309753418E+01   5.16800003052E+01  w1_04021992 
   5.39449577332E+01   5.14900016785E+01  w1_05081992 
   5.39979553223E+01   5.14199981689E+01  w1_06091992 
   5.39297447205E+01   5.13400001526E+01  w1_07071992 
   5.38581390381E+01   5.13100013733E+01  w1_08101992 
   5.38428573608E+01   5.13100013733E+01  w1_09101992 
   5.38613700867E+01   5.13499984741E+01  w1_10191992 
   5.38876457214E+01   5.13600006104E+01  w1_11121992 
   5.39630241394E+01   5.13600006104E+01  w1_12021992 
   5.40658950806E+01   5.19900016785E+01  w1_12311992 
   5.41088218689E+01   5.22500000000E+01  w1_01251993 
   5.43435363770E+01   5.21899986267E+01  w1_03031993 
   5.41540908813E+01   5.20699996948E+01  w1_04021993 
   5.40916938782E+01   5.19099998474E+01  w1_05041993 
   5.39430351257E+01   5.18300018311E+01  w1_06091993 
   5.38855934143E+01   5.17400016785E+01  w1_06291993 
   5.38366203308E+01   5.16699981689E+01  w1_07281993 
   5.37908325195E+01   5.16300010681E+01  w1_08301993 
   5.37914543152E+01   5.16300010681E+01  w1_09291993 
   5.38285636902E+01   5.16199989319E+01  w1_11021993 
   5.39598999023E+01   5.16699981689E+01  w1_11291993 
   5.42997741699E+01   5.16800003052E+01  w1_01061994 
   5.39033126831E+01   5.16699981689E+01  w1_01201994 
   5.35931358337E+01   5.22700004578E+01  w1_02231994 
   5.40275764465E+01   5.18100013733E+01  w1_03231994 
   5.34760475159E+01   5.17900009155E+01  w1_04271994 
   5.32278137207E+01   5.17599983215E+01  w1_05281994 
   5.39370384216E+01   5.16500015259E+01  w1_06291994 
   5.38997192383E+01   5.14300003052E+01  w1_07271994 
   5.38586578369E+01   5.15900001526E+01  w1_08301994 
   5.38573799133E+01   5.15999984741E+01  w1_09281994 
   5.38628540039E+01   5.15900001526E+01  w1_10241994 
   5.38761596680E+01   5.16399993896E+01  w1_11291994 
   5.41620674133E+01   5.16800003052E+01  w1_12291994 
   5.42767868042E+01   5.26699981689E+01  w1_01251995 
   5.36906166077E+01   5.17599983215E+01  w1_02271995 
   5.35532646179E+01   5.21500015259E+01  w1_03161995 
   5.33493003845E+01   5.20499992371E+01  w1_03291995 
   5.31302375793E+01   5.14099998474E+01  w1_04261995 
   5.38561439514E+01   5.13100013733E+01  w1_05301995 
   5.38218154907E+01   5.12200012207E+01  w1_06301995 
   5.37738914490E+01   5.11100006104E+01  w1_07281995 
   5.37734832764E+01   5.10600013733E+01  w1_09051995 
   5.37844047546E+01   5.10400009155E+01  w1_10051995 
   5.38438796997E+01   5.10200004578E+01  w1_10311995 
   5.40748329163E+01   5.10400009155E+01  w1_11271995 
   5.37553863525E+01   5.11599998474E+01  w1_12261995 
   5.37334403992E+01   5.17700004578E+01  w1_02071996 
   5.34135894775E+01   5.18300018311E+01  w1_02281996 
   5.40182533264E+01   5.14300003052E+01  w1_03291996 
   5.40040168762E+01   5.12700004578E+01  w1_04291996 
   5.38754730225E+01   5.12000007629E+01  w1_05291996 
   5.38248825073E+01   5.11100006104E+01  w1_07011996 
   5.37833786011E+01   5.10900001526E+01  w1_07251996 
   5.37488327026E+01   5.10699996948E+01  w1_08291996 
   5.37415924072E+01   5.10400009155E+01  w1_09271996 
   5.37782058716E+01   5.10400009155E+01  w1_11011996 
   5.42436180115E+01   5.11399993896E+01  w1_12031996 
   5.43682327271E+01   5.15699996948E+01  w1_12271996 
   5.37948341370E+01   5.21199989319E+01  w1_01311997 
   5.43793296814E+01   5.15900001526E+01  w1_02271997 
   5.40453872681E+01   5.14500007629E+01  w1_03281997 
   5.37956809998E+01   5.13800010681E+01  w1_04281997 
   5.34438438416E+01   5.12900009155E+01  w1_05291997 
   5.41189727783E+01   5.12400016785E+01  w1_07091997 
   5.40508842468E+01   5.12400016785E+01  w1_08051997 
   5.40119857788E+01   5.12299995422E+01  w1_08271997 
   5.39848937988E+01   5.12400016785E+01  w1_09301997 
   5.40185127258E+01   5.12099990845E+01  w1_10301997 
   5.40471725464E+01   5.12799987793E+01  w1_11241997 
   5.42142410278E+01   5.14799995422E+01  w1_12301997 
   5.36219177246E+01   5.12400016785E+01  w1_01281998 
   5.41818428040E+01   5.19300003052E+01  w1_01291998 
   5.35828781128E+01   5.23100013733E+01  w1_02261998 
   5.34855003357E+01   5.18100013733E+01  w1_03311998 
   5.30832672119E+01   5.16300010681E+01  w1_05121998 
   5.37576255798E+01   5.15600013733E+01  w1_06011998 
   5.38009643555E+01   5.14199981689E+01  w1_07011998 
   5.37893447876E+01   5.13100013733E+01  w1_08041998 
   5.37759666443E+01   5.12599983215E+01  w1_08281998 
   5.38038063049E+01   5.12299995422E+01  w1_10281998 
   5.38959236145E+01   5.13499984741E+01  w1_12021998 
   5.38946342468E+01   5.12999992371E+01  w1_01041999 
   5.35147514343E+01   5.14799995422E+01  w1_01291999 
   5.36751480103E+01   5.15299987793E+01  w1_02241999 
   5.33102111816E+01   5.15800018311E+01  w1_04021999 
   5.32332420349E+01   5.14300003052E+01  w1_04301999 
   5.38825912476E+01   5.13600006104E+01  w1_06021999 
   5.38270988464E+01   5.12599983215E+01  w1_07011999 
   5.37984924316E+01   5.12299995422E+01  w1_07271999 
   5.37710571289E+01   5.11800003052E+01  w1_08311999 
   5.37648963928E+01   5.11800003052E+01  w1_10081999 
   5.38717651367E+01   5.12200012207E+01  w1_10281999 
   5.39640274048E+01   5.12000007629E+01  w1_11301999 
   5.38990097046E+01   5.15299987793E+01  w1_01052000 
   5.42913284302E+01   5.15299987793E+01  w1_01312000 
   5.37771148682E+01   5.18100013733E+01  w1_02252000 
   5.40598030090E+01   5.14000015259E+01  w1_04032000 
   5.35195426941E+01   5.13800010681E+01  w1_04252000 
   5.39243812561E+01   5.12700004578E+01  w1_05312000 
   5.38424758911E+01   5.11800003052E+01  w1_06282000 
   5.37966995239E+01   5.11500015259E+01  w1_07312000 
   5.37672500610E+01   5.11300010681E+01  w1_08292000 
   5.37644615173E+01   5.11300010681E+01  w1_10032000 
   5.37958450317E+01   5.11500015259E+01  w1_10312000 
   5.40094566345E+01   5.11599998474E+01  w1_11302000 
   5.42773170471E+01   5.11899986267E+01  w1_12202000 
   5.42260360718E+01   5.13100013733E+01  w1_02022001 
   5.41682548523E+01   5.13800010681E+01  w1_02282001 
   5.41134300232E+01   5.13499984741E+01  w1_04052001 
   5.40111999512E+01   5.13400001526E+01  w1_05012001 
   5.39196319580E+01   5.12299995422E+01  w1_05242001 
   5.37441787720E+01   5.11500015259E+01  w1_07092001 
   5.37251548767E+01   5.10800018311E+01  w1_07232001 
   5.36879463196E+01   5.10800018311E+01  w1_08302001 
   5.36697998047E+01   5.10800018311E+01  w1_09272001 
   5.39636497498E+01   5.11300010681E+01  w1_11082001 
   5.40247650146E+01   5.12000007629E+01  w1_11302001 
   5.44597053528E+01   5.12999992371E+01  w1_12202001 
   5.42650794983E+01   5.13499984741E+01  w1_01302002 
   5.42490043640E+01   5.12900009155E+01  w1_03042002 
   5.42881927490E+01   5.13600006104E+01  w1_03262002 
   5.43410873413E+01   5.13199996948E+01  w1_04262002 
   5.40883102417E+01   5.12200012207E+01  w1_05282002 
   5.39181594849E+01   5.11599998474E+01  w1_06252002 
   5.37640647888E+01   5.10900001526E+01  w1_07292002 
   5.37177810669E+01   5.10699996948E+01  w1_08282002 
   5.37043533325E+01   5.10600013733E+01  w1_10022002 
   5.37519912720E+01   5.11800003052E+01  w1_11072002 
   5.37989120483E+01   5.11800003052E+01  w1_12022002 
   5.44882621765E+01   5.17299995422E+01  w1_12302002 
   5.43037528992E+01   5.14000015259E+01  w1_01302003 
   5.45139350891E+01   5.13600006104E+01  w1_02242003 
   5.43420829773E+01   5.13400001526E+01  w1_03262003 
   5.41086807251E+01   5.14399986267E+01  w1_04292003 
   5.39689064026E+01   5.13300018311E+01  w1_05272003 
   5.38475646973E+01   5.12200012207E+01  w1_06262003 
   5.37460060120E+01   5.13400001526E+01  w1_07292003 
   5.37015914917E+01   5.11100006104E+01  w1_08282003 
   5.36924705505E+01   5.11399993896E+01  w1_09262003 
   5.39039764404E+01   5.11300010681E+01  w1_10252003 
   5.39772911072E+01   5.11300010681E+01  w1_11262003 
   5.40039329529E+01   5.11899986267E+01  w1_12222003 
   5.45545158386E+01   5.13100013733E+01  w1_01262004 
   5.47817840576E+01   5.15200004578E+01  w1_02232004 
   5.47468719482E+01   5.13300018311E+01  w1_04012004 
   5.44713973999E+01   5.11800003052E+01  w1_04302004 
   5.42455825806E+01   5.12200012207E+01  w1_05272004 
   5.40661621094E+01   5.11399993896E+01  w1_06292004 
   5.38915214539E+01   5.11100006104E+01  w1_08042004 
   5.38304748535E+01   5.08300018311E+01  w1_08302004 
   5.38004913330E+01   5.08699989319E+01  w1_09292004 
   5.38088340759E+01   5.08499984741E+01  w1_10272004 
   5.38317794800E+01   5.09700012207E+01  w1_12012004 
   5.41878318787E+01   5.11800003052E+01  w1_12282004 
   5.43604431152E+01   5.15099983215E+01  w1_02092005 
   5.43079032898E+01   5.23800010681E+01  w1_02272005 
   5.47257308960E+01   5.18699989319E+01  w1_03302005 
   5.46565055847E+01   5.14900016785E+01  w1_05022005 
   5.43879127502E+01   5.13699989319E+01  w1_05262005 
   5.41020812988E+01   5.09599990845E+01  w1_06302005 
   5.39284362793E+01   5.11899986267E+01  w1_07282005 
   5.38804931641E+01   5.09099998474E+01  w1_08312005 
   5.38458862305E+01   5.11199989319E+01  w1_09282005 
   5.38436889648E+01   5.11399993896E+01  w1_10282005 
   5.39012718201E+01   5.11599998474E+01  w1_12062005 
   5.40957679749E+01   5.16899986267E+01  w1_01062006 
   5.40894660950E+01   5.14199981689E+01  w1_02012006 
   5.42943687439E+01   5.18800010681E+01  w1_03022006 
   5.41439590454E+01   5.18199996948E+01  w1_03292006 
   5.40253639221E+01   5.17299995422E+01  w1_04262006 
   5.38541183472E+01   5.14900016785E+01  w1_05252006 
   5.37036857605E+01   5.13699989319E+01  w1_07062006 
   5.36620788574E+01   5.11899986267E+01  w1_08102006 
   5.36222305298E+01   5.14599990845E+01  w1_09012006 
   5.36796073914E+01   5.11500015259E+01  w1_10042006 
   5.37101058960E+01   5.11500015259E+01  w1_11012006 
   5.37174873352E+01   5.11300010681E+01  w1_11292006 
   5.38228492737E+01   5.12000007629E+01  w1_12222006 
   5.47162437439E+01   5.11399993896E+01  w1_02052007 
   5.47442474365E+01   5.15699996948E+01  w1_02272007 
   5.44619979858E+01   5.13100013733E+01  w1_03272007 
   5.41785430908E+01   5.12200012207E+01  w1_05012007 
   5.39788551331E+01   5.11500015259E+01  w1_05312007 
   5.38325767517E+01   5.11300010681E+01  w1_06272007 
   5.37472534180E+01   5.10800018311E+01  w1_08022007 
   5.36928062439E+01   5.10800018311E+01  w1_08312007 
   5.36762123108E+01   5.07999992371E+01  w1_10022007 
   5.36860389709E+01   5.10900001526E+01  w1_11022007 
   5.38097267151E+01   5.10800018311E+01  w1_11292007 
