"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.21741561890E+01   5.13300018311E+01  w1_10231990 
   5.29442176819E+01   5.15200004578E+01  w1_11261990 
   5.32197837830E+01   5.15000000000E+01  w1_12191990 
   5.36080856323E+01   5.15999984741E+01  w1_01041991 
   5.38418312073E+01   5.15800018311E+01  w1_02051991 
   5.33612861633E+01   5.22099990845E+01  w1_03051991 
   5.38397750854E+01   5.23699989319E+01  w1_03221991 
   5.38383445740E+01   5.20999984741E+01  w1_04021991 
   5.38747749329E+01   5.19599990845E+01  w1_04091991 
   5.38742599487E+01   5.18499984741E+01  w1_04181991 
   5.38574485779E+01   5.17900009155E+01  w1_05031991 
   5.38123130798E+01   5.17299995422E+01  w1_06061991 
   5.37540359497E+01   5.15600013733E+01  w1_07051991 
   5.37254638672E+01   5.15900001526E+01  w1_08081991 
   5.37285079956E+01   5.15600013733E+01  w1_09041991 
   5.37781410217E+01   5.13199996948E+01  w1_11151991 
   5.38686065674E+01   5.13100013733E+01  w1_12091991 
   5.42954750061E+01   5.16800003052E+01  w1_01061992 
   5.37296104431E+01   5.15200004578E+01  w1_02051992 
   5.39903297424E+01   5.17799987793E+01  w1_03021992 
   5.37569389343E+01   5.18400001526E+01  w1_03131992 
   5.35790519714E+01   5.16800003052E+01  w1_04021992 
   5.39533576965E+01   5.14900016785E+01  w1_05081992 
   5.40070228577E+01   5.14199981689E+01  w1_06091992 
   5.39289131165E+01   5.13400001526E+01  w1_07071992 
   5.38532180786E+01   5.13100013733E+01  w1_08101992 
   5.38359413147E+01   5.13100013733E+01  w1_09101992 
   5.38525924683E+01   5.13499984741E+01  w1_10191992 
   5.38765220642E+01   5.13600006104E+01  w1_11121992 
   5.39761161804E+01   5.13600006104E+01  w1_12021992 
   5.40625267029E+01   5.19900016785E+01  w1_12311992 
   5.40812072754E+01   5.22500000000E+01  w1_01251993 
   5.43512916565E+01   5.21899986267E+01  w1_03031993 
   5.41729240417E+01   5.20699996948E+01  w1_04021993 
   5.41032066345E+01   5.19099998474E+01  w1_05041993 
   5.39529190063E+01   5.18300018311E+01  w1_06091993 
   5.38871841431E+01   5.17400016785E+01  w1_06291993 
   5.38338737488E+01   5.16699981689E+01  w1_07281993 
   5.37872238159E+01   5.16300010681E+01  w1_08301993 
   5.37861404419E+01   5.16300010681E+01  w1_09291993 
   5.38208618164E+01   5.16199989319E+01  w1_11021993 
   5.39440994263E+01   5.16699981689E+01  w1_11291993 
   5.43026008606E+01   5.16800003052E+01  w1_01061994 
   5.38990058899E+01   5.16699981689E+01  w1_01201994 
   5.35530471802E+01   5.22700004578E+01  w1_02231994 
   5.40050010681E+01   5.18100013733E+01  w1_03231994 
   5.34845199585E+01   5.17900009155E+01  w1_04271994 
   5.32171325684E+01   5.17599983215E+01  w1_05281994 
   5.39320106506E+01   5.16500015259E+01  w1_06291994 
   5.38970222473E+01   5.14300003052E+01  w1_07271994 
   5.38574523926E+01   5.15900001526E+01  w1_08301994 
   5.38571014404E+01   5.15999984741E+01  w1_09281994 
   5.38612709045E+01   5.15900001526E+01  w1_10241994 
   5.38751640320E+01   5.16399993896E+01  w1_11291994 
   5.41509552002E+01   5.16800003052E+01  w1_12291994 
   5.42356872559E+01   5.26699981689E+01  w1_01251995 
   5.37127456665E+01   5.17599983215E+01  w1_02271995 
   5.35918159485E+01   5.21500015259E+01  w1_03161995 
   5.34262809753E+01   5.20499992371E+01  w1_03291995 
   5.31819686890E+01   5.14099998474E+01  w1_04261995 
   5.38899574280E+01   5.13100013733E+01  w1_05301995 
