Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
10/01/1991,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.4164062E+01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1524811E+08,  0.1345277E+00,  0.4185723E+07,  0.4818637E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1900751E+07,  0.1337113E+00,  0.0000000E+00,  0.9399374E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1948612E+04,  0.7433884E+07,  0.0000000E+00,  228
10/02/1991,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4670078E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1333043E+08,  0.1881649E+00,  0.4148400E+07,  0.4818690E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1918734E+07,  0.2405581E+00,  0.0000000E+00,  0.1223435E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1049611E+04,  0.3732601E+05,  0.0000000E+00,   90
10/03/1991,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.7221875E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1185586E+08,  0.3211651E+00,  0.4129587E+07,  0.4818719E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1475614E+07,  0.3579350E+00,  0.0000000E+00,  0.1649787E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1044840E+04,  0.1881667E+05,  0.0000000E+00,   97
10/04/1991,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1718742E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1082823E+08,  0.4459841E+00,  0.4115328E+07,  0.4818724E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1028629E+07,  0.4796918E+00,  0.0000000E+00,  0.3456294E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1003945E+04,  0.1426284E+05,  0.0000000E+00,   74
10/05/1991,  0.0000000E+00,  0.5990553E+03,  0.2067376E+03,  0.5904590E+04,  0.0000000E+00,  0.6777297E+04,  0.8212341E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1048346E+08,  0.1402554E+06,  0.4103595E+07,  0.4818716E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.7534003E+06,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8700230E+06,  0.3036430E+03,  0.0000000E+00,  0.4815233E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9439182E+03,  0.1173607E+05,  0.6706779E+06,   18
10/06/1991,  0.0000000E+00,  0.3279459E+04,  0.1435384E+04,  0.6930771E+05,  0.0000000E+00,  0.3948770E+05,  0.8393503E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1229644E+08,  0.9114340E+06,  0.4092339E+07,  0.4818766E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4068362E+07,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1409411E+07,  0.4447329E+03,  0.0000000E+00,  0.1624349E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1039114E+04,  0.1126023E+05,  0.4063271E+07,   61
10/07/1991,  0.7977513E+03,  0.5548962E+04,  0.3349145E+04,  0.2136253E+06,  0.0000000E+00,  0.6844582E+05,  0.8393503E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1616700E+08,  0.2041478E+07,  0.4086159E+07,  0.4818846E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6881056E+07,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1657434E+07,  0.4723109E+03,  0.0000000E+00,  0.9239594E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1560385E+04,  0.1067718E+04,  0.7744196E+04,  0.6875507E+07,   24
10/08/1991,  0.9384892E-01,  0.0000000E+00,  0.0000000E+00,  0.8946608E+05,  0.0000000E+00,  0.6808345E+05,  0.6796926E+01,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1496638E+08,  0.1832262E+07,  0.4081321E+07,  0.4818903E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8392824E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1320482E+07,  0.4920308E+03,  0.0000000E+00,  0.3469165E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8532726E+03,  0.9601781E+03,  0.5694134E+04,  0.0000000E+00,   14
10/09/1991,  0.1865011E+00,  0.1125464E+04,  0.6391707E+03,  0.1082814E+06,  0.0000000E+00,  0.8214684E+05,  0.8251278E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1485335E+08,  0.1905980E+07,  0.4077226E+07,  0.4818964E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1406347E+07,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1252919E+07,  0.4827315E+03,  0.0000000E+00,  0.4482324E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1101375E+04,  0.9198661E+03,  0.5199087E+04,  0.1322716E+07,   15
10/10/1991,  0.1648067E+04,  0.0000000E+00,  0.0000000E+00,  0.7869756E+05,  0.0000000E+00,  0.8477844E+05,  0.1335642E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1402282E+08,  0.1723089E+07,  0.4073156E+07,  0.4819015E+10,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8249942E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9350462E+06,  0.4507085E+03,  0.0000000E+00,  0.5661595E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5801525E+03,  0.8951279E+03,  0.4653489E+04,  0.0000000E+00,   17
